Date,Plus_Minus
10/29/14,18
11/1/14,23
11/2/14,5
11/5/14,17
11/8/14,11
11/9/14,-12
11/11/14,-13
11/13/14,8
11/15/14,25
11/16/14,21
11/21/14,13
11/23/14,5
11/25/14,17
11/26/14,15
11/28/14,5
11/30/14,11
12/2/14,1
12/4/14,27
12/6/14,10
12/8/14,16
12/10/14,12
12/13/14,7
12/14/14,6
12/16/14,-7
12/18/14,5
12/22/14,20
12/23/14,-10
12/25/14,-14
12/27/14,13
12/30/14,40
1/2/15,21
1/5/15,26
1/7/15,15
1/9/15,18
1/13/15,11
1/14/15,15
1/16/15,-12
1/17/15,25
1/19/15,43
1/21/15,13
1/23/15,25
1/25/15,3
1/27/15,-2
1/30/15,-10
1/31/15,19
2/3/15,25
2/4/15,14
2/6/15,-8
2/7/15,14
2/9/15,5
2/11/15,3
2/20/15,11
2/22/15,-6
2/24/15,7
2/26/15,-11
2/27/15,24
3/1/15,5
3/2/15,-2
3/4/15,9
3/6/15,15
3/8/15,8
3/9/15,18
3/11/15,7
3/13/15,-11
3/14/15,31
3/16/15,3
3/18/15,19
3/20/15,16
3/21/15,15
3/23/15,31
3/24/15,14
3/27/15,23
3/28/15,13
3/31/15,4
4/2/15,1
4/4/15,13
4/5/15,-15
4/7/15,-3
4/9/15,11
4/11/15,9
4/13/15,4
4/15/15,7